PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene
28.41 ,62.36 ,16.86 ,11.88 ,27.19 ,11.45 ,0.75 ,6.25 ,22.14 ,1.35 ,1.43 
31.20 ,49.36 ,7.26 ,8.76 ,16.02 ,10.07 ,0.26 ,4.57 ,8.72 ,3.41 ,1.14 
15.86 ,33.92 ,55.95 ,17.43 ,24.30 ,0.08 ,0.75 ,5.74 ,8.44 ,2.24 ,4.86 
51.06 ,159.28 ,9.48 ,54.11 ,53.47 ,37.55 ,1.07 ,10.81 ,73.30 ,3.32 ,7.54 
10.45 ,31.40 ,2.57 ,7.65 ,8.52 ,6.94 ,0.73 ,6.90 ,14.25 ,0.43 ,0.68 
24.58 ,45.50 ,1.89 ,10.22 ,3.48 ,3.72 ,0.16 ,4.69 ,39.89 ,0.14 ,0.73 
34.36 ,77.79 ,0.32 ,9.92 ,5.36 ,41.62 ,0.22 ,19.84 ,53.05 ,3.00 ,8.79 
120.09 ,234.50 ,13.99 ,43.40 ,36.69 ,44.16 ,0.99 ,19.46 ,77.35 ,3.73 ,35.42 
18.89 ,65.59 ,3.16 ,10.52 ,11.90 ,9.54 ,0.53 ,5.20 ,18.97 ,0.12 ,2.26 
33.75 ,74.42 ,27.82 ,24.76 ,48.99 ,24.80 ,1.43 ,9.09 ,18.58 ,5.44 ,2.34 
79.61 ,109.54 ,4.88 ,29.74 ,25.98 ,16.59 ,1.18 ,7.31 ,98.07 ,0.24 ,1.31 
43.00 ,139.50 ,6.35 ,32.30 ,9.91 ,46.38 ,0.62 ,20.10 ,55.93 ,0.05 ,1.01 
232.94 ,418.24 ,188.10 ,100.22 ,288.32 ,18.28 ,1.58 ,14.08 ,3.82 ,6.97 ,8.46 
44.74 ,131.26 ,17.11 ,36.24 ,40.19 ,22.16 ,0.86 ,7.21 ,11.33 ,2.55 ,7.17 
20.29 ,34.19 ,10.95 ,12.44 ,22.39 ,30.11 ,0.19 ,2.55 ,51.16 ,4.04 ,1.16 
52.72 ,82.29 ,18.15 ,8.70 ,19.70 ,16.64 ,0.70 ,10.84 ,4.77 ,3.59 ,6.04 
31.13 ,62.85 ,6.80 ,15.35 ,18.53 ,6.68 ,0.85 ,6.86 ,9.76 ,1.43 ,0.72 
53.63 ,205.35 ,7.88 ,15.65 ,19.27 ,19.79 ,0.86 ,9.17 ,5.30 ,2.35 ,2.64 
160.58 ,341.86 ,61.32 ,62.41 ,85.15 ,37.38 ,1.71 ,22.97 ,25.19 ,6.39 ,81.11 
58.85 ,86.73 ,6.51 ,49.09 ,30.66 ,16.58 ,0.94 ,4.49 ,12.69 ,8.62 ,6.76 
44.56 ,196.38 ,43.39 ,86.64 ,74.66 ,22.54 ,1.18 ,4.52 ,42.37 ,1.11 ,0.40 
123.77 ,189.51 ,19.89 ,48.66 ,47.65 ,43.25 ,1.23 ,12.40 ,34.98 ,3.34 ,28.62 
37.25 ,70.81 ,15.15 ,51.74 ,38.34 ,79.56 ,0.31 ,6.26 ,15.64 ,0.03 ,0.51 
17.03 ,77.64 ,39.76 ,13.21 ,31.70 ,11.78 ,0.33 ,9.65 ,36.96 ,0.53 ,3.08 
31.82 ,46.18 ,7.26 ,10.06 ,13.97 ,17.89 ,0.68 ,14.21 ,62.10 ,0.40 ,0.23 
158.55 ,299.39 ,76.34 ,76.09 ,10.80 ,58.73 ,1.97 ,19.08 ,47.47 ,6.51 ,14.13 
43.08 ,175.25 ,51.68 ,79.50 ,46.16 ,56.95 ,0.42 ,20.63 ,52.70 ,0.73 ,1.56 
19.35 ,35.59 ,6.14 ,14.94 ,19.27 ,23.23 ,0.76 ,13.97 ,32.75 ,0.18 ,1.01 
34.20 ,95.58 ,5.52 ,19.32 ,16.10 ,35.02 ,0.67 ,12.71 ,100.62 ,1.45 ,17.89 
17.38 ,48.95 ,3.32 ,22.23 ,14.33 ,11.91 ,0.26 ,7.19 ,21.78 ,0.51 ,4.84 
35.58 ,66.85 ,4.50 ,35.57 ,40.07 ,6.70 ,1.26 ,2.19 ,1.39 ,1.87 ,11.68 
49.65 ,120.18 ,2.15 ,12.55 ,14.70 ,10.46 ,0.28 ,5.29 ,22.74 ,2.78 ,4.04 
31.80 ,73.15 ,2.33 ,14.70 ,9.65 ,12.34 ,0.57 ,8.81 ,31.29 ,0.16 ,1.24 
27.00 ,45.94 ,3.38 ,2.80 ,6.44 ,2.93 ,1.21 ,3.13 ,34.97 ,0.19 ,0.17 
80.19 ,199.85 ,2.41 ,28.41 ,25.08 ,20.25 ,0.71 ,10.22 ,96.12 ,1.30 ,0.41 
9.47 ,43.34 ,9.94 ,9.31 ,12.78 ,16.54 ,0.62 ,6.96 ,11.83 ,0.20 ,2.02 
20.40 ,40.00 ,5.82 ,21.62 ,14.87 ,15.34 ,0.19 ,7.97 ,14.76 ,0.55 ,2.42 
153.46 ,298.64 ,87.94 ,71.08 ,116.90 ,42.52 ,2.61 ,15.63 ,19.14 ,7.62 ,87.25 
96.74 ,105.40 ,2.45 ,45.16 ,20.06 ,14.08 ,1.42 ,3.30 ,24.21 ,1.10 ,0.31 
19.30 ,55.93 ,40.42 ,20.00 ,19.45 ,6.20 ,1.27 ,7.01 ,19.38 ,0.78 ,2.09 
16.25 ,60.00 ,1.35 ,6.25 ,4.42 ,7.85 ,1.45 ,7.72 ,88.20 ,0.43 ,0.20 
27.44 ,71.94 ,46.85 ,60.54 ,93.09 ,16.99 ,2.34 ,11.25 ,12.60 ,1.29 ,9.54 
30.07 ,122.20 ,21.46 ,45.24 ,48.20 ,95.20 ,0.68 ,4.99 ,15.28 ,0.81 ,0.54 
26.25 ,49.25 ,3.93 ,1.23 ,3.82 ,0.58 ,0.60 ,7.72 ,67.07 ,2.43 ,4.67 
5.50 ,9.33 ,6.00 ,7.06 ,4.31 ,4.00 ,0.07 ,8.59 ,44.60 ,0.06 ,0.88 
17.42 ,67.81 ,7.73 ,25.47 ,27.77 ,10.65 ,0.90 ,4.31 ,21.09 ,0.46 ,1.93 
185.43 ,345.82 ,90.12 ,76.93 ,119.02 ,63.41 ,1.64 ,13.89 ,40.12 ,2.83 ,5.84 
30.57 ,165.10 ,6.58 ,29.56 ,29.43 ,23.29 ,0.44 ,12.20 ,84.70 ,1.01 ,1.27 
16.87 ,47.31 ,8.38 ,24.68 ,24.52 ,11.59 ,0.84 ,7.33 ,40.13 ,0.52 ,36.81 
19.16 ,69.17 ,9.49 ,24.02 ,23.90 ,9.70 ,1.02 ,4.72 ,26.46 ,0.40 ,1.88 
34.15 ,129.26 ,12.88 ,15.49 ,20.68 ,27.00 ,0.77 ,10.56 ,14.23 ,1.71 ,23.41 
16.44 ,48.80 ,72.96 ,20.10 ,54.98 ,3.74 ,0.52 ,3.10 ,28.09 ,1.44 ,1.38 
305.34 ,561.00 ,114.20 ,109.35 ,212.15 ,105.48 ,2.61 ,15.41 ,116.89 ,8.89 ,28.85 
45.68 ,96.71 ,7.77 ,13.91 ,19.21 ,22.19 ,0.67 ,9.96 ,76.98 ,0.76 ,4.80 
22.50 ,47.00 ,2.75 ,8.25 ,6.60 ,10.25 ,0.28 ,18.20 ,25.02 ,2.17 ,7.60 
169.78 ,279.78 ,31.68 ,41.25 ,66.90 ,136.82 ,8.18 ,4.39 ,26.07 ,5.98 ,10.74 
232.84 ,344.69 ,36.81 ,75.21 ,39.38 ,52.59 ,0.59 ,15.68 ,29.67 ,8.15 ,11.99 
137.86 ,245.50 ,12.11 ,54.27 ,54.06 ,57.88 ,14.32 ,16.29 ,62.34 ,2.87 ,3.05 
158.67 ,237.72 ,27.72 ,46.06 ,60.55 ,40.73 ,1.24 ,13.75 ,48.23 ,1.76 ,3.28 
54.96 ,91.36 ,1.44 ,20.76 ,14.30 ,28.80 ,0.45 ,6.34 ,62.46 ,0.95 ,1.30 
26.61 ,89.00 ,3.93 ,38.55 ,35.02 ,24.13 ,1.00 ,6.57 ,83.51 ,0.61 ,3.86 
41.45 ,78.39 ,11.10 ,31.02 ,36.36 ,27.56 ,1.08 ,10.39 ,35.64 ,1.36 ,13.48 
183.20 ,476.00 ,58.90 ,85.39 ,60.73 ,54.51 ,1.37 ,29.98 ,29.30 ,4.46 ,6.87 
21.32 ,64.18 ,7.93 ,11.79 ,14.66 ,26.90 ,0.61 ,11.27 ,65.56 ,0.89 ,5.74 
24.25 ,80.25 ,8.78 ,31.68 ,24.00 ,6.72 ,0.45 ,12.03 ,3.88 ,1.10 ,3.27 
74.96 ,100.45 ,22.90 ,61.16 ,48.25 ,17.02 ,1.06 ,23.95 ,28.45 ,0.52 ,0.66 
41.12 ,75.93 ,5.45 ,30.13 ,35.58 ,13.92 ,0.68 ,7.49 ,34.43 ,16.60 ,16.29 
19.94 ,46.42 ,1.89 ,13.06 ,8.14 ,14.19 ,0.30 ,4.66 ,87.25 ,0.36 ,1.69 
69.42 ,210.46 ,7.57 ,36.78 ,38.15 ,65.45 ,0.94 ,20.81 ,49.63 ,3.22 ,6.68 
35.42 ,82.34 ,4.96 ,15.77 ,13.15 ,21.95 ,0.69 ,9.20 ,92.50 ,0.84 ,8.78 
44.90 ,78.56 ,4.15 ,37.01 ,23.08 ,29.98 ,0.71 ,10.46 ,33.17 ,5.07 ,24.42 
182.48 ,249.89 ,25.02 ,77.04 ,101.56 ,21.34 ,0.66 ,7.35 ,3.36 ,8.74 ,13.52 
64.06 ,144.39 ,57.57 ,93.20 ,150.76 ,96.62 ,3.48 ,14.65 ,13.26 ,9.56 ,39.79 
104.88 ,204.51 ,36.36 ,74.96 ,77.83 ,42.87 ,1.66 ,9.90 ,27.88 ,3.95 ,26.06 
44.81 ,127.28 ,19.78 ,36.95 ,36.37 ,32.61 ,0.86 ,3.10 ,5.97 ,0.48 ,0.51 
31.98 ,151.00 ,2.08 ,28.53 ,16.16 ,13.80 ,1.21 ,2.56 ,100.98 ,0.88 ,0.73 
38.05 ,110.31 ,2.94 ,34.37 ,20.57 ,12.58 ,0.66 ,3.32 ,45.59 ,0.71 ,3.78 
15.38 ,54.60 ,26.49 ,19.26 ,27.70 ,17.53 ,0.20 ,6.24 ,15.05 ,0.41 ,2.48 
49.58 ,80.50 ,2.93 ,24.69 ,13.19 ,11.12 ,0.66 ,3.21 ,28.45 ,0.74 ,6.48 
99.36 ,267.51 ,58.60 ,94.44 ,153.04 ,47.04 ,2.86 ,18.69 ,7.30 ,4.69 ,11.44 
11.16 ,18.25 ,0.80 ,6.45 ,4.07 ,12.05 ,0.11 ,8.62 ,20.97 ,0.43 ,1.32 
36.11 ,53.80 ,10.13 ,12.45 ,22.58 ,5.24 ,0.43 ,7.78 ,18.44 ,3.14 ,2.14 
42.76 ,103.69 ,17.05 ,52.43 ,54.31 ,20.94 ,1.10 ,12.25 ,40.29 ,1.18 ,6.16 
40.84 ,131.99 ,5.96 ,34.39 ,29.24 ,25.30 ,1.26 ,3.31 ,27.40 ,3.19 ,2.37 
36.77 ,135.06 ,8.30 ,48.67 ,34.56 ,25.57 ,1.03 ,16.48 ,60.30 ,2.47 ,34.12 
51.88 ,70.37 ,9.70 ,29.26 ,107.07 ,31.26 ,0.63 ,9.71 ,35.66 ,1.01 ,4.96 
24.25 ,69.25 ,7.72 ,20.19 ,24.70 ,11.52 ,0.84 ,5.32 ,36.23 ,0.55 ,1.64 
56.60 ,104.25 ,3.04 ,15.74 ,18.76 ,8.16 ,0.52 ,1.18 ,28.24 ,1.44 ,3.66 
87.00 ,239.50 ,12.12 ,52.35 ,37.67 ,8.42 ,0.86 ,1.25 ,7.50 ,4.17 ,33.53 
47.25 ,114.00 ,17.85 ,37.10 ,31.38 ,10.92 ,1.27 ,67.88 ,17.28 ,9.30 ,11.30 
30.16 ,60.90 ,50.85 ,47.05 ,53.90 ,10.72 ,1.15 ,10.74 ,35.14 ,0.06 ,2.96 
33.00 ,52.75 ,2.48 ,13.03 ,8.95 ,3.50 ,0.42 ,25.45 ,31.77 ,2.18 ,8.53 
5.46 ,9.35 ,1.04 ,2.92 ,1.19 ,3.34 ,0.14 ,5.28 ,35.75 ,0.01 ,0.10 
26.62 ,111.12 ,1.14 ,36.67 ,8.16 ,16.60 ,0.06 ,3.93 ,50.15 ,0.02 ,0.27 
13.82 ,35.65 ,9.31 ,29.65 ,23.42 ,24.17 ,0.56 ,3.89 ,2.94 ,1.80 ,0.56 
65.50 ,107.50 ,0.48 ,13.90 ,7.77 ,19.60 ,0.10 ,13.38 ,107.33 ,0.10 ,4.53 
102.58 ,184.96 ,19.56 ,51.45 ,71.03 ,29.19 ,0.76 ,8.79 ,42.41 ,23.83 ,34.07 
11.40 ,24.96 ,2.87 ,13.82 ,13.75 ,13.21 ,0.51 ,5.48 ,36.03 ,1.11 ,1.17 
21.96 ,45.00 ,21.76 ,20.55 ,13.28 ,8.72 ,0.41 ,2.53 ,29.82 ,0.68 ,6.77 
13.49 ,23.53 ,0.90 ,2.44 ,0.93 ,2.50 ,0.32 ,8.11 ,27.65 ,0.08 ,0.40 
123.42 ,301.08 ,18.18 ,22.51 ,11.08 ,20.15 ,0.32 ,20.73 ,39.24 ,4.54 ,8.51 
45.04 ,110.99 ,4.51 ,25.34 ,18.97 ,31.28 ,0.98 ,11.96 ,39.26 ,1.78 ,15.59 
25.70 ,43.70 ,1.09 ,8.56 ,5.36 ,35.65 ,0.38 ,6.10 ,18.75 ,3.52 ,0.11 
31.46 ,58.93 ,3.47 ,18.77 ,18.39 ,14.35 ,0.76 ,5.78 ,30.70 ,0.41 ,1.00 
11.25 ,31.25 ,1.90 ,13.05 ,8.48 ,14.43 ,0.61 ,13.12 ,19.43 ,0.10 ,1.80 
13.67 ,25.06 ,7.45 ,30.06 ,20.84 ,11.60 ,0.43 ,3.33 ,20.41 ,0.76 ,6.13 
30.91 ,80.60 ,8.57 ,30.26 ,24.82 ,30.81 ,0.89 ,7.44 ,26.40 ,1.35 ,24.57 
20.25 ,58.75 ,4.47 ,12.93 ,9.29 ,22.37 ,0.36 ,20.17 ,13.42 ,0.15 ,2.82 
23.23 ,70.05 ,7.72 ,23.12 ,20.91 ,28.40 ,0.84 ,8.35 ,42.16 ,0.79 ,11.35 
47.00 ,84.50 ,16.87 ,36.55 ,33.17 ,14.48 ,1.03 ,7.65 ,9.80 ,0.20 ,3.70 
80.00 ,154.00 ,54.48 ,67.10 ,80.00 ,14.67 ,1.60 ,5.12 ,6.20 ,5.28 ,9.40 
91.17 ,108.25 ,10.38 ,50.57 ,54.02 ,25.85 ,1.21 ,11.86 ,63.51 ,4.74 ,17.88 
13.35 ,46.94 ,0.86 ,10.07 ,5.93 ,24.61 ,0.47 ,10.83 ,56.50 ,2.40 ,0.55 
20.51 ,38.66 ,6.54 ,20.00 ,26.53 ,8.68 ,1.21 ,1.77 ,20.12 ,1.26 ,12.44 
53.73 ,99.67 ,6.45 ,27.20 ,26.38 ,23.82 ,0.72 ,17.15 ,38.12 ,0.75 ,9.06 
126.81 ,233.26 ,9.42 ,44.77 ,54.45 ,22.00 ,1.01 ,28.74 ,109.18 ,14.73 ,22.05 
26.00 ,41.00 ,2.56 ,23.51 ,19.60 ,16.85 ,0.48 ,5.98 ,30.30 ,0.11 ,0.82 
23.54 ,52.12 ,10.43 ,25.09 ,23.76 ,28.74 ,0.75 ,8.43 ,24.11 ,1.36 ,15.49 
21.28 ,41.49 ,3.74 ,7.23 ,11.01 ,11.93 ,0.37 ,7.25 ,76.62 ,1.12 ,5.59 
45.47 ,131.74 ,19.22 ,40.77 ,40.85 ,21.38 ,1.39 ,4.96 ,30.23 ,1.91 ,6.58 
38.35 ,113.69 ,9.45 ,34.77 ,28.77 ,33.93 ,0.72 ,9.06 ,20.10 ,1.61 ,25.99 
105.34 ,182.12 ,16.48 ,82.01 ,53.93 ,36.85 ,1.89 ,4.91 ,17.12 ,2.08 ,0.99 
70.17 ,140.25 ,4.51 ,16.36 ,17.91 ,25.21 ,0.38 ,6.17 ,48.86 ,0.20 ,1.00 
63.98 ,145.40 ,14.84 ,9.00 ,17.60 ,21.91 ,0.49 ,4.40 ,48.66 ,4.52 ,2.21 
69.00 ,128.00 ,1.77 ,25.83 ,15.22 ,6.20 ,0.89 ,9.28 ,118.57 ,4.30 ,7.65 
49.51 ,127.10 ,7.69 ,17.15 ,21.80 ,9.71 ,0.41 ,9.49 ,27.35 ,0.48 ,10.62 
100.34 ,216.66 ,13.23 ,33.31 ,26.47 ,13.74 ,1.40 ,3.86 ,7.34 ,3.87 ,11.62 
39.84 ,103.81 ,22.21 ,59.19 ,45.62 ,99.97 ,1.20 ,5.53 ,4.51 ,3.78 ,9.52 
59.10 ,138.00 ,2.30 ,14.07 ,8.47 ,202.12 ,0.33 ,4.62 ,4.37 ,3.23 ,7.30 
66.75 ,123.25 ,1.97 ,37.80 ,21.70 ,9.90 ,1.05 ,9.62 ,127.75 ,4.23 ,6.80 
2.38 ,18.65 ,27.20 ,22.21 ,46.16 ,30.98 ,0.50 ,6.66 ,43.79 ,2.92 ,2.53 
45.79 ,183.13 ,10.77 ,19.18 ,24.78 ,11.27 ,1.14 ,6.17 ,1.71 ,2.21 ,2.01 
78.02 ,120.26 ,14.06 ,37.68 ,51.58 ,37.30 ,0.87 ,13.26 ,70.90 ,4.76 ,6.04 
49.00 ,72.00 ,3.43 ,16.47 ,11.55 ,15.62 ,1.31 ,9.95 ,54.85 ,0.05 ,0.10 
24.77 ,57.93 ,7.53 ,8.97 ,16.49 ,10.05 ,0.73 ,4.42 ,13.39 ,3.38 ,1.13 
25.87 ,38.64 ,19.65 ,9.45 ,21.19 ,34.70 ,0.66 ,9.90 ,7.93 ,6.26 ,0.15 
52.08 ,141.14 ,4.54 ,23.89 ,14.08 ,26.06 ,0.55 ,3.73 ,35.67 ,1.62 ,1.30 
81.42 ,148.78 ,13.63 ,38.74 ,52.26 ,25.19 ,0.50 ,16.25 ,101.33 ,24.20 ,31.26 
19.89 ,26.00 ,1.20 ,3.86 ,1.72 ,3.64 ,0.43 ,5.47 ,30.14 ,0.43 ,0.98 
57.35 ,148.46 ,7.12 ,25.75 ,20.97 ,29.81 ,0.89 ,14.37 ,125.58 ,2.13 ,17.75 
57.94 ,103.44 ,3.50 ,9.54 ,11.26 ,17.40 ,0.73 ,7.44 ,87.00 ,1.14 ,0.23 
53.97 ,91.84 ,9.39 ,29.94 ,30.94 ,15.35 ,0.95 ,5.86 ,51.68 ,0.61 ,2.12 
11.50 ,26.25 ,2.05 ,10.22 ,7.07 ,9.45 ,0.46 ,12.20 ,21.27 ,0.10 ,2.90 
42.33 ,72.20 ,36.55 ,35.62 ,45.40 ,8.45 ,1.00 ,4.56 ,4.19 ,0.63 ,9.05 
84.08 ,191.57 ,105.91 ,95.86 ,199.62 ,33.81 ,2.27 ,10.32 ,6.05 ,46.83 ,52.71 
38.56 ,94.94 ,7.59 ,32.43 ,40.12 ,23.62 ,0.49 ,6.86 ,42.74 ,16.88 ,24.39 
95.36 ,162.15 ,2.52 ,33.02 ,35.53 ,22.08 ,1.03 ,11.23 ,84.69 ,2.22 ,4.97 
19.39 ,30.00 ,11.49 ,0.93 ,16.31 ,35.38 ,0.48 ,11.30 ,19.63 ,0.13 ,0.93 
33.59 ,96.30 ,16.68 ,11.26 ,27.85 ,11.96 ,0.67 ,16.41 ,29.30 ,1.59 ,2.19 
52.62 ,83.44 ,2.37 ,39.00 ,41.37 ,15.84 ,1.49 ,2.91 ,16.80 ,2.08 ,6.78 
43.07 ,104.35 ,58.93 ,68.13 ,127.63 ,27.94 ,1.42 ,15.67 ,6.54 ,25.82 ,35.43 
56.25 ,93.75 ,4.52 ,27.72 ,16.90 ,10.60 ,1.14 ,1.23 ,71.57 ,3.82 ,9.32 
12.75 ,61.25 ,24.15 ,15.30 ,29.88 ,8.62 ,0.07 ,6.52 ,47.50 ,0.33 ,0.23 
65.00 ,186.00 ,19.13 ,67.93 ,51.68 ,14.30 ,0.74 ,33.13 ,5.38 ,11.68 ,48.33 
36.44 ,126.71 ,11.96 ,10.55 ,21.80 ,20.00 ,0.95 ,8.37 ,14.98 ,5.84 ,2.26 
57.33 ,137.71 ,5.56 ,2.42 ,8.08 ,1.08 ,0.40 ,14.07 ,79.24 ,3.45 ,2.00 
21.90 ,58.25 ,4.83 ,24.81 ,24.29 ,26.73 ,0.63 ,12.91 ,60.97 ,1.45 ,11.53 
15.18 ,38.81 ,46.54 ,10.84 ,44.15 ,10.02 ,0.37 ,7.78 ,37.72 ,0.55 ,3.46 
298.65 ,468.89 ,226.06 ,85.79 ,238.39 ,57.73 ,5.58 ,21.99 ,27.00 ,10.96 ,84.05 
31.06 ,80.97 ,3.97 ,11.93 ,8.46 ,29.71 ,0.36 ,13.96 ,62.38 ,1.70 ,2.69 
49.90 ,135.72 ,14.08 ,42.53 ,48.05 ,14.63 ,1.13 ,7.62 ,26.77 ,0.61 ,1.80 
74.66 ,148.68 ,41.81 ,40.87 ,58.15 ,28.40 ,0.99 ,13.35 ,9.30 ,7.63 ,3.03 
43.94 ,73.34 ,3.57 ,32.73 ,33.75 ,29.73 ,0.70 ,7.43 ,80.88 ,2.55 ,15.71 
21.92 ,43.55 ,4.19 ,18.21 ,10.95 ,9.57 ,0.32 ,3.86 ,5.70 ,0.18 ,1.81 
14.00 ,77.75 ,12.43 ,41.88 ,32.40 ,4.12 ,0.88 ,13.82 ,12.25 ,2.12 ,2.08 
32.89 ,32.02 ,5.31 ,22.87 ,25.87 ,32.45 ,1.14 ,4.59 ,28.86 ,2.62 ,9.89 
38.50 ,137.75 ,24.77 ,58.17 ,51.13 ,21.83 ,2.19 ,12.78 ,7.83 ,0.15 ,0.75 
23.66 ,71.04 ,12.67 ,23.00 ,29.10 ,24.68 ,0.55 ,7.68 ,27.96 ,0.46 ,2.73 
41.13 ,110.60 ,2.64 ,16.76 ,16.24 ,23.20 ,0.61 ,13.94 ,98.89 ,2.20 ,2.28 
21.42 ,46.52 ,2.27 ,16.12 ,18.39 ,3.93 ,1.15 ,7.01 ,25.57 ,4.68 ,2.48 
15.46 ,52.26 ,16.90 ,26.37 ,29.32 ,22.11 ,0.90 ,7.09 ,17.18 ,0.76 ,3.75 
52.54 ,194.82 ,10.02 ,33.21 ,28.86 ,32.58 ,0.56 ,9.15 ,6.25 ,0.32 ,0.31 
47.23 ,81.10 ,40.93 ,19.61 ,60.56 ,27.39 ,1.08 ,3.68 ,32.17 ,2.03 ,2.04 
106.10 ,172.80 ,2.74 ,36.68 ,19.70 ,26.95 ,0.43 ,19.68 ,111.06 ,3.38 ,6.44 
60.78 ,142.58 ,9.24 ,19.67 ,28.91 ,23.68 ,1.48 ,19.30 ,71.40 ,1.25 ,15.78 
166.52 ,317.72 ,61.07 ,77.75 ,77.98 ,54.65 ,2.33 ,22.79 ,41.10 ,6.02 ,23.58 
85.31 ,219.80 ,6.55 ,28.30 ,21.95 ,34.57 ,0.91 ,20.68 ,136.34 ,3.46 ,17.59 
83.04 ,193.60 ,3.78 ,41.46 ,45.24 ,34.64 ,0.54 ,14.88 ,61.16 ,3.11 ,8.46 
77.10 ,175.60 ,28.05 ,109.94 ,79.48 ,18.55 ,1.58 ,23.91 ,6.62 ,6.58 ,57.79 
84.01 ,259.27 ,11.30 ,29.07 ,38.35 ,17.98 ,0.48 ,10.34 ,114.85 ,1.41 ,3.65 
169.85 ,263.76 ,27.87 ,56.74 ,55.99 ,48.21 ,1.36 ,13.27 ,26.76 ,4.86 ,35.07 
18.10 ,41.20 ,2.74 ,21.13 ,23.87 ,6.41 ,0.78 ,8.84 ,75.24 ,4.95 ,1.63 
83.19 ,131.92 ,24.98 ,26.26 ,46.17 ,21.62 ,11.22 ,4.00 ,35.10 ,2.94 ,19.55 
34.98 ,99.47 ,200.57 ,79.37 ,194.20 ,151.46 ,0.56 ,14.24 ,8.93 ,5.56 ,2.22 
39.74 ,86.89 ,7.98 ,52.14 ,50.88 ,35.86 ,0.71 ,13.82 ,31.94 ,2.86 ,4.62 
23.88 ,51.88 ,3.38 ,14.04 ,4.09 ,13.22 ,0.13 ,6.59 ,70.54 ,0.02 ,0.69 
5.67 ,18.00 ,1.55 ,8.53 ,2.91 ,4.40 ,0.16 ,2.52 ,29.12 ,0.14 ,1.48 
42.80 ,87.51 ,32.66 ,29.72 ,45.29 ,31.53 ,1.20 ,9.41 ,28.91 ,2.11 ,33.31 
18.75 ,60.25 ,8.25 ,23.65 ,19.25 ,16.55 ,0.33 ,4.70 ,10.85 ,3.58 ,8.93 
61.83 ,115.29 ,8.56 ,23.12 ,21.36 ,30.63 ,1.13 ,13.23 ,30.14 ,2.29 ,20.71 
142.58 ,293.11 ,6.12 ,54.37 ,60.50 ,53.04 ,1.03 ,8.21 ,24.66 ,2.30 ,10.72 
13.25 ,47.00 ,174.72 ,4.12 ,72.04 ,4.42 ,0.17 ,1.86 ,30.51 ,0.03 ,0.63 
22.00 ,130.50 ,10.25 ,36.55 ,27.80 ,1.30 ,0.94 ,17.05 ,25.02 ,6.00 ,5.50 
75.67 ,174.25 ,45.75 ,102.97 ,54.06 ,37.56 ,0.59 ,27.00 ,46.66 ,1.97 ,12.84 
35.51 ,42.89 ,4.56 ,16.56 ,21.12 ,13.17 ,0.99 ,11.10 ,33.53 ,1.15 ,6.84 
66.05 ,106.38 ,10.54 ,12.43 ,21.66 ,11.71 ,0.09 ,25.64 ,6.42 ,1.89 ,1.51 
11.28 ,19.75 ,0.60 ,6.30 ,3.67 ,12.93 ,0.11 ,15.95 ,28.65 ,0.77 ,1.60 
23.00 ,44.50 ,3.90 ,14.65 ,10.95 ,18.90 ,1.12 ,5.85 ,42.58 ,2.95 ,5.12 
62.22 ,130.61 ,9.81 ,28.34 ,25.26 ,38.06 ,1.11 ,9.53 ,42.25 ,1.75 ,15.84 
6.50 ,30.00 ,7.62 ,15.30 ,13.15 ,13.58 ,0.48 ,10.30 ,43.47 ,3.02 ,7.45 
40.26 ,80.01 ,16.87 ,56.72 ,58.78 ,32.28 ,1.34 ,10.12 ,33.33 ,2.63 ,14.27 
86.86 ,149.68 ,77.32 ,45.85 ,77.41 ,19.48 ,1.68 ,11.56 ,3.69 ,3.32 ,9.45 
198.26 ,313.55 ,26.57 ,48.36 ,52.22 ,44.90 ,1.28 ,25.86 ,31.13 ,3.31 ,11.32 
81.03 ,89.37 ,8.92 ,49.88 ,41.16 ,20.63 ,15.27 ,4.76 ,129.23 ,0.88 ,0.65 
37.92 ,78.44 ,5.45 ,19.07 ,24.56 ,19.69 ,0.40 ,14.30 ,113.37 ,3.10 ,9.41 
50.66 ,157.38 ,10.57 ,28.90 ,37.16 ,49.91 ,0.67 ,9.68 ,57.48 ,0.74 ,1.79 
90.86 ,212.49 ,14.68 ,33.99 ,43.29 ,7.14 ,0.99 ,11.33 ,80.61 ,1.03 ,6.03 
16.49 ,49.77 ,1.13 ,25.96 ,15.15 ,33.88 ,0.67 ,11.59 ,28.13 ,2.45 ,0.30 
202.91 ,336.96 ,81.70 ,77.55 ,140.78 ,67.62 ,1.67 ,23.75 ,38.13 ,2.04 ,5.36 
186.36 ,316.75 ,129.39 ,61.88 ,187.52 ,44.25 ,1.36 ,54.46 ,104.01 ,9.46 ,26.65 
15.47 ,19.20 ,3.99 ,19.26 ,18.41 ,11.09 ,0.49 ,4.12 ,26.68 ,0.34 ,0.66 
46.71 ,106.45 ,21.64 ,21.32 ,24.91 ,10.82 ,0.71 ,12.52 ,78.78 ,1.78 ,9.97 
116.43 ,209.76 ,45.10 ,44.71 ,59.27 ,32.63 ,1.18 ,15.99 ,16.33 ,4.40 ,37.50 
49.74 ,143.84 ,47.06 ,37.74 ,84.92 ,8.66 ,0.76 ,12.90 ,47.17 ,2.84 ,5.11 
